States,x,y
Rajasthan,-192.0,69.0
Uttar Pradesh,-44.0,69.0
Jammu Kashmir,-130.0,215.0
Himachal Pradesh,-122.0,167.0
Punjab,-162.0,147.0
Haryana,-139.0,113.0
Uttarakhand,-76.0,134.0
Madhya Pradesh,-111.0,5.0
Gujarat,-256.0,-5.0
Bihar,66.0,51.0
Chhattisgarh,-24.0,-43.0
Jharkhand,48.0,7.0
Odhisa,50.0,-52.0
West Bengal,117.0,-4.0
Maharashtra,-189.0,-69.0
Goa,-188.0,-141.0
Karnataka,-161.0,-158.0
Telangana,-87.0,-95.0
Andhra Pradesh,-77.0,-152.0
Kerala,-139.0,-228.0
Tamil Nadu,-85.0,-200.0
Arunachal Pradesh,271.0,98.0
Assam,192.0,55.0
Sikkim,134.0,82.0
Meghalaya,184.0,38.0
Tripura,199.0,4.0
Mizoram,234.0,-16.0
Nagaland,277.0,51.0
Manipur,261.0,26.0
